COMARCA,ID_MUN,MUNICIPI,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S
Alt Penedès,8064,Castellví de la Marca,BLAT,2023,,0.984305732966,,0.0,,0.0
Alt Penedès,8064,Castellví de la Marca,BLAT,2024,,0.9854,,0.890491879487986,,0.903685690570313
Alt Penedès,8064,Castellví de la Marca,BLAT,2025,,2.775273243933949,,7.535738789543503,,3.090523697621593
Alt Penedès,8064,Castellví de la Marca,BLAT,2026,,2.775273243933792,,11.81332980185949,,4.256636649267287
Alt Penedès,8064,Castellví de la Marca,ORDI,2023,2.897892169084,15.871178027642,6.568925354459681,3.56724820572381,2.345666380644589,0.3663299002416199
Alt Penedès,8064,Castellví de la Marca,ORDI,2024,,12.1843,,34.553933444662384,,2.9082434211320973
Alt Penedès,8064,Castellví de la Marca,ORDI,2025,,26.2004321169081,,72.17455439672288,,2.7499155094074954
Alt Penedès,8064,Castellví de la Marca,ORDI,2026,,8.668181377798089,,34.1677114911359,,3.9417393340026377
Alt Penedès,8084,Font-rubí,AMETLLER,2025,,1.614787489264618,,0.8075526172032347,,0.4106362573723132
Alt Penedès,8084,Font-rubí,AMETLLER,2026,,1.614787489264618,,0.3656912126940576,,0.099320513222057
Alt Penedès,8084,Font-rubí,BLAT,2023,,5.314069354555199,,0.0,,0.0
Alt Penedès,8084,Font-rubí,BLAT,2024,,0.4371,,1.227316360602836,,2.80786172638489
Alt Penedès,8084,Font-rubí,BLAT,2025,,11.259553062167727,,26.42590985447529,,2.2598799470892152
Alt Penedès,8084,Font-rubí,BLAT,2026,,16.96144818374266,,70.38112888467411,,4.149476396250973
Alt Penedès,8084,Font-rubí,ORDI,2023,,23.426772202996,,21.187276365958983,,1.304835992599989
Alt Penedès,8084,Font-rubí,ORDI,2024,,26.3493,,82.43795994987306,,3.21782451054003
Alt Penedès,8084,Font-rubí,ORDI,2025,,36.22109510684296,,136.3225249232962,,4.0677993570014
Alt Penedès,8084,Font-rubí,ORDI,2026,,28.01036767246914,,112.4906067040354,,4.016034634725639
Alt Penedès,8090,Gelida,AMETLLER,2025,,0.642413428719079,,0.2292946562979377,,0.3374279711521494
Alt Penedès,8090,Gelida,AMETLLER,2026,,0.642413428719079,,0.0904356810584739,,0.1702491787289669
Alt Penedès,8090,Gelida,BLAT,2024,,4.0453,,7.7703758526289395,,2.0764040805370323
Alt Penedès,8090,Gelida,ORDI,2023,,4.04306893426,,4.874430657462044,,1.3000355572967366
Alt Penedès,8090,Gelida,ORDI,2024,,11.751,,39.12774158793441,,3.178556123044036
Alt Penedès,8090,Gelida,ORDI,2026,,5.546833722013239,,23.624915619011208,,4.259171412557952
Alt Penedès,8093,la Granada,AMETLLER,2025,,0.16632264649527,,0.0863872658521458,,0.5193956906800575
Alt Penedès,8093,la Granada,AMETLLER,2026,,0.16632264649527,,0.0313675262367949,,0.1885944391684929
Alt Penedès,8093,la Granada,BLAT,2023,,0.525753222585,,0.0,,0.0
Alt Penedès,8093,la Granada,ORDI,2023,,10.291821782688,,0.0,,0.0
Alt Penedès,8093,la Granada,ORDI,2024,,13.0261,,39.85874069271247,,2.3912304712004198
Alt Penedès,8093,la Granada,ORDI,2025,,11.476953256909152,,27.71368363948662,,2.230099571151785
Alt Penedès,8093,la Granada,ORDI,2026,,15.966251290689256,,52.753803532223095,,3.3040820022033945
Alt Penedès,8121,Mediona,AMETLLER,2025,,7.036405702734417,,2.6171030843006022,,0.4188994034826855
Alt Penedès,8121,Mediona,AMETLLER,2026,,7.036405702734417,,0.9933528143894584,,0.164669886875011
Alt Penedès,8121,Mediona,BLAT,2023,,199.6481755699008,,112.08981665908104,,0.5396625272787556
Alt Penedès,8121,Mediona,BLAT,2024,,126.2548,,338.3467800571782,,2.6157087515592066
Alt Penedès,8121,Mediona,BLAT,2025,,196.4817405850395,,805.1184068919689,,3.809054364111445
Alt Penedès,8121,Mediona,BLAT,2026,,162.90959580502155,,761.0353071038604,,4.67151921495592
Alt Penedès,8121,Mediona,ORDI,2023,,115.8233463103256,,107.6149841917184,,1.0466020937297351
Alt Penedès,8121,Mediona,ORDI,2024,,149.8863,,541.0643614270093,,3.4532331981363686
Alt Penedès,8121,Mediona,ORDI,2025,,168.44350688711464,,651.5806528677449,,3.8442629541795377
Alt Penedès,8121,Mediona,ORDI,2026,,147.61853283257489,,619.8550803519989,,4.199032929388498
Alt Penedès,8144,Olèrdola,AMETLLER,2025,,0.493204260782407,,0.2492230226962156,,0.5073555142650527
Alt Penedès,8144,Olèrdola,AMETLLER,2026,,0.493204260782407,,0.0742169678418391,,0.1482698025491886
Alt Penedès,8144,Olèrdola,ORDI,2023,0.136736744677,7.9535587576023,0.179970888263613,0.253832253485334,1.31618526306693,0.0371271721394665
Alt Penedès,8144,Olèrdola,ORDI,2024,0.137,1.9048,0.561199009617992,3.930083952965153,4.096343135897748,2.2357494273772267
Alt Penedès,8144,Olèrdola,ORDI,2025,0.136631999600581,11.174821279800293,0.6596694872494604,30.06534429310506,4.828074603152154,2.349514844604234
Alt Penedès,8144,Olèrdola,ORDI,2026,0.136631999600581,1.902097947345256,0.6501227888593768,3.773681785634349,4.758202988757344,1.9839576562822376
Alt Penedès,8145,Olesa de Bonesvalls,AMETLLER,2025,,0.109389453781064,,0.0677761931392417,,0.6195861739550453
Alt Penedès,8145,Olesa de Bonesvalls,AMETLLER,2026,,0.109389453781064,,0.0078856973013397,,0.0720882775145992
Alt Penedès,8145,Olesa de Bonesvalls,ORDI,2023,,1.159393884524,,1.4418562468339209,,1.39793992383411
Alt Penedès,8153,Pacs del Penedès,BLAT,2023,,7.540161895738,,0.0,,0.0
Alt Penedès,8153,Pacs del Penedès,BLAT,2024,,4.2254,,1.0251399006952089,,0.2991203898852157
Alt Penedès,8153,Pacs del Penedès,BLAT,2025,,34.449123583559896,,64.2889424038488,,2.108079816374812
Alt Penedès,8153,Pacs del Penedès,BLAT,2026,,31.06385828574472,,121.45900539963289,,3.909978093589576
Alt Penedès,8153,Pacs del Penedès,ORDI,2023,,3.142345294926,,0.0,,0.0
Alt Penedès,8153,Pacs del Penedès,ORDI,2024,,0.529,,1.209047913616247,,2.285534808348292
Alt Penedès,8163,el Pla del Penedès,ORDI,2023,,5.0664123206900005,,1.554822968549159,,0.274859022598355
Alt Penedès,8163,el Pla del Penedès,ORDI,2024,,5.068,,14.842889467841328,,2.7753210135041257
Alt Penedès,8163,el Pla del Penedès,ORDI,2025,,5.525283054013635,,20.433962077471477,,2.885213675173234
Alt Penedès,8163,el Pla del Penedès,ORDI,2026,,5.525285529819509,,22.842097004832343,,4.134102551181371
Alt Penedès,8167,Pontons,AMETLLER,2025,,0.161163354555986,,0.0584478013215988,,0.36617693489669
Alt Penedès,8167,Pontons,AMETLLER,2026,,0.161163354555986,,0.0424608582872891,,0.2761894957034473
Alt Penedès,8167,Pontons,BLAT,2023,,48.34018391203764,,114.59319338094876,,1.8340742139189736
Alt Penedès,8167,Pontons,BLAT,2024,,28.2653,,128.01498253153312,,4.19607014392737
Alt Penedès,8167,Pontons,BLAT,2025,,19.30713741336009,,80.04114437800163,,3.76035244556097
Alt Penedès,8167,Pontons,BLAT,2026,,29.08991436653184,,133.3581685416914,,4.584343799070133
Alt Penedès,8167,Pontons,ORDI,2023,,45.94343295238378,,69.88564899379519,,1.5009061591743895
Alt Penedès,8167,Pontons,ORDI,2024,,54.6564,,191.86330922351888,,3.729835227006759
Alt Penedès,8167,Pontons,ORDI,2025,,59.24260488748361,,231.2108166425824,,4.014687336252846
Alt Penedès,8167,Pontons,ORDI,2026,,51.72233231181018,,225.9517593313365,,4.368553180648875
Alt Penedès,8173,Puigdàlber,ORDI,2023,,0.761417691164,,0.616152605544191,,0.7989812894226145
Alt Penedès,8205,Sant Cugat Sesgarrigues,AMETLLER,2025,,0.048163858631784,,0.0129305902267695,,0.2684708118098429
Alt Penedès,8205,Sant Cugat Sesgarrigues,AMETLLER,2026,,0.048163858631784,,-0.0018753382551069,,-0.0389366281768254
