COMARCA,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,HA_DARPA_R,HA_DARPA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S,PROD_DARPA(t)_R,PROD_DARPA(t)_S,PROD_DARPA(t/ha)_R,PROD_DARPA(t/ha)_S
Conca de Barberà,ORDI,2023,13.3035532803494,8936.45756314667,12.0,8702.0,43.90117484277028,14576.482092056847,3.713509104245717,1.4705545895241716,40.452,13836.18,3.371,1.59
Conca de Barberà,ORDI,2024,14.4649,7936.929,12.0,7703.0,75.80325077960046,19209.186809403687,4.996239191311675,2.322524874435689,40.8,12324.8,3.4,1.6
Conca de Barberà,ORDI,2025,12.10447619855779,9028.555919123986,10.68,8747.390000000001,82.80574142572506,38710.44239546359,6.830146884268269,4.242897458900305,63.01,43739.39,5.899812734082397,5.000278940346777
Conca de Barberà,ORDI,2026,12.089367761254469,9163.602519938162,,,84.29347245842979,42966.692453820266,6.972529426111443,4.688842882516277,,,,
Garraf,BLAT,2023,,5.207097981266,,,,0.0,,0.0,,,,
Garraf,BLAT,2024,,5.4127,,5.0,,4.582728845559727,,1.1023146956785983,,19.0,,3.8
Garraf,BLAT,2025,,11.466179191717842,,20.34,,19.05968830425331,,1.72583808106793,,81.02,,3.983284169124877
Garraf,BLAT,2026,,17.15625367023147,,,,40.81740442959821,,2.3791560333723782,,,,
Garraf,BLAT DE MORO,2025,0.162822422683391,,,,1.114261937173275,,6.843418239390545,,,,,
Garraf,ORDI,2023,,47.380948339935,,,,15.983396825361014,,0.346336055488726,,,,
Garraf,ORDI,2024,,31.3056,,32.0,,92.96928458902752,,2.8974844533057045,,112.0,,3.5
Garraf,ORDI,2025,,40.4391473735846,,48.37,,110.13051384776703,,2.862201130030931,,193.48,,4.0
Garraf,ORDI,2026,,7.141779820624726,,,,23.672762770202137,,3.314686725826752,,,,
Garrigues,BLAT,2022,1185.4056,787.0685,1135.0,738.0,7564.315583172304,2652.780106383268,6.254971572587918,3.408883098408781,6129.0,2718.792,5.4,3.684
Garrigues,BLAT,2023,1286.7987256831466,745.3848876597668,1217.0,724.0,6012.800177600794,1100.8843635016217,4.491637630977031,1.8991497015562615,6085.0,0.724,5.0,0.001
Garrigues,BLAT,2024,1436.7169,950.2966,1374.0,904.0,10054.570848662644,2145.8403472779896,6.512567706862681,3.091880738721149,9343.2,813.6,6.800000000000001,0.9
Garrigues,BLAT,2025,1193.939143313579,666.4858549498672,1071.12,660.35,8235.027255916666,3338.5819630740984,6.716385827511586,4.966844008060525,7394.1,2502.4100000000003,6.903148106654718,3.789520708715076
Garrigues,BLAT,2026,1098.4430804223196,764.0237412066866,,,8985.837949249984,4510.83617375589,8.180522149400028,5.904052361817383,,,,
Garrigues,BLAT DE MORO,2022,1688.5319,6.6628,1475.0,6.0,18997.298854484285,71.12687702988138,11.152042185112784,10.56888666437439,14418.125,20.4,9.775,3.4
Garrigues,BLAT DE MORO,2023,127.10332612145778,0.65074068848768,107.0,,907.395449886398,4.641478080965574,7.161464175081386,7.034277398881775,963.0,,9.0,
Garrigues,BLAT DE MORO,2024,349.987,2.4658,305.0,1.0,3034.70985808858,19.78829455588164,8.198452310799864,8.196761347913235,3141.5,1.8,10.3,1.8
Garrigues,BLAT DE MORO,2025,1161.8175659108051,3.838444264301897,1018.07,,12779.996723913408,39.80350670550053,10.74635239740044,10.018031997051372,11198.77,,11.0,
Garrigues,BLAT DE MORO,2026,1236.9020876930522,5.122325522215829,,,12981.947804028154,52.23598641634006,10.49553390943078,10.197709261113824,,,,
Garrigues,ORDI,2022,785.5789,3066.8145,722.0,2911.0,4780.857073645399,8463.800829491247,6.031325280637006,2.7000211694778504,4332.0,7757.815,6.0,2.665
Garrigues,ORDI,2023,953.8246003290488,3086.248097901393,909.0,2950.0,4106.505149304871,2578.987339570833,4.167609107193957,0.9156697311038604,4090.5,2.95,4.5,0.001
Garrigues,ORDI,2024,1541.0818,2251.117,1466.0,2144.0,9254.999268045218,4093.161587905116,5.744380087989648,2.059560359468409,10408.6,2787.2000000000003,7.1000000000000005,1.3
Garrigues,ORDI,2025,1124.1878832285984,2509.773384440898,1066.39,2424.62,7481.978165596327,9790.980564627547,6.653175906193522,3.974319908990356,7364.3,9659.36,6.905822447697371,3.9838655129463594
Garrigues,ORDI,2026,1081.2896437999404,2751.4863394681006,,,7973.156343413827,11744.31409069794,7.373747070575862,4.2683526798713,,,,
Garrotxa,BLAT,2022,290.7073,793.3513,233.0,635.0,2146.040463801164,4276.607950397287,7.586783843852374,5.463179001178353,1351.4,2857.5,5.800000000000001,4.5
Garrotxa,BLAT,2023,244.9603732545795,819.8033172247394,101.0,332.0,1655.6517180480266,4875.117347989517,7.577085630147556,6.2304514762114085,606.0,1494.0,6.0,4.5
Garrotxa,BLAT,2024,226.0877,869.3872,196.0,742.0,1926.678222847968,6172.483101316652,8.60435813743106,7.082857677478363,833.0,2522.8,4.25,3.4000000000000004
Garrotxa,BLAT,2025,263.8600277279325,779.2123345902363,256.6,705.15,2401.926660141642,6030.194112659479,9.034301193078717,7.764940657226154,1482.4,3378.06,5.777084957131722,4.79055520102106
Garrotxa,BLAT,2026,305.2822009062705,750.2376984086343,,,2947.316833501814,6211.261171087562,9.65440115654406,8.279057669672651,,,,
Garrotxa,BLAT DE MORO,2022,681.0791,646.1634,146.0,225.0,7545.987604563769,6517.570283261441,10.887990535662356,10.1318600702813,1022.0,787.5,7.0,3.5
Garrotxa,BLAT DE MORO,2023,648.2754408228076,503.5233669510204,296.0,224.0,6420.570058177215,4748.47720593622,9.738001275680787,9.477011621062902,2960.0,784.0,10.0,3.5
Garrotxa,BLAT DE MORO,2024,567.6987,381.6339,227.0,154.0,5330.418732267454,3453.3858957833054,9.26691583538539,9.06691397203786,2724.0,1155.0,12.0,7.5
Garrotxa,BLAT DE MORO,2025,644.9868946280282,404.9364495214107,287.43,181.9,5915.249540808955,3698.852537093074,9.106595176071528,9.08422939502716,3765.33,1346.06,13.099989562676129,7.399999999999999
Garrotxa,BLAT DE MORO,2026,649.4448617261135,422.7381361875299,,,6180.955406663159,3857.615812466482,9.51729049058181,9.125308275369823,,,,
Garrotxa,ORDI,2022,86.0526,567.4144,82.0,543.0,635.2639137254146,2797.696208786464,7.439628063922733,4.90660740070483,410.0,1629.0,5.0,3.0
Garrotxa,ORDI,2023,149.7125820376397,828.9170707836722,74.0,399.0,1011.7913957003104,3640.358811128601,6.898307295741422,4.590437042460893,407.0,1596.0,5.5,4.0
Garrotxa,ORDI,2024,176.4774,798.5312,174.0,765.0,1514.2341036260823,4926.028741441901,8.764380373879298,6.213702556891286,696.0,2371.5,4.0,3.1
Garrotxa,ORDI,2025,138.10163437895022,754.0780638199303,131.96,738.59,1298.0803323186751,5154.376144691936,9.384482264274537,6.8303332314802265,712.58,2806.32,5.399969687784177,3.799564034173222
Garrotxa,ORDI,2026,180.33015595566843,806.5848968322327,,,1752.8990355037852,5747.42322932469,9.720498638811746,7.125627137201574,,,,
